Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33
34,West Virginia,Big 12,FBS,393.00,17,50,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,48,23.5,0,0,0,0,23,50.5,224.00,169.00
37,Colorado,Big 12,FBS,380.50,33,25,0,0,0,0,0,0,0,0,0,0,2,90,0,0,0,0,0,0,52,21,0,0,0,0,136.00,244.50
40,Oklahoma State,Big 12,FBS,372.00,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42,47,25.5,0,0,2,90,207.50,164.50
43,Texas Tech,Big 12,FBS,352.50,17,50,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,69,14,61.5,0,0,0,0,230.50,122.00
48,Arizona,Big 12,FBS,305.50,0,0,3,83,0,0,0,0,0,0,0,0,0,0,29,45,27,47,37,34.5,52,21,0,0,0,0,230.50,75.00
50,Utah,Big 12,FBS,303.00,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,34,36,48,23.5,0,0,0,0,0,0,159.50,143.50
53,Kansas,Big 12,FBS,295.50,0,0,17,50,0,0,0,0,0,0,0,0,0,0,25,48.5,0,0,58,16,19,53,0,0,0,0,167.50,128.00
55,Arizona State,Big 12,FBS,267.00,65,5,0,0,0,0,0,0,0,0,0,0,0,0,37,30,4,80,0,0,0,0,0,0,13,63,178.00,89.00
59,Baylor,Big 12,FBS,255.00,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52.5,35,38.5,0,0,0,0,141.00,114.00
74,Kansas State,Big 12,FBS,199.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,72,4,77.5,0,0,0,0,149.50,50.00
86,UCF,Big 12,FBS,148.50,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,23.5,0,0,0,0,0,0,48.50,100.00
88,Houston,Big 12,FBS,142.00,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,23,0,0,0,0,87,55
93,Cincinnati,Big 12,FBS,135.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42,0,0,33,40,0,0,0,0,0,0,82.00,53.00
36,Uconn,Big East,FBS,387.00,3,83,2,90,0,0,0,0,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.00,154.00
57,Villanova,Big East,FCS,265.00,33,25,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,56,0,0,0,0,106.00,159.00
62,Georgetown,Big East,FCS,242.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,242.50
68,St. John's (NY),Big East,DI,222.00,0,0,9,64,14,48,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.00,25.00
117,Butler,Big East,FCS,92.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34,0,0,0,0,34.00,58.50
129,Xavier,Big East,DI,75.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,75.00
137,Creighton,Big East,DI,73.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,73.00
143,Providence,Big East,DI,69.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,69.00
169,Marquette,Big East,DI,50.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,50.00
169,Seton Hall,Big East,DI,50.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,50.00
66,Northern Arizona,Big Sky,FCS,235.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,23.5,7,70.5,0,0,0,0,94.00,141.00
76,Montana State,Big Sky,FCS,180.00,0,0,0,0,0,0,0,0,0,0,0,0,4,80,0,0,0,0,0,0,0,0,0,0,0,0,80.00,100.00
106,Montana,Big Sky,FCS,108.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,108.00
169,Idaho,Big Sky,FCS,50.00,33,25,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.00,0.00
194,Northern Colorado,Big Sky,FCS,40.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,15.00,25.00
72,High Point,Big South,DI,214.50,33,25,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25.5,0,0,0,0,100.50,114.00
129,Presbyterian College,Big South,FCS,75.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,0,0,75.00,0.00
251,Gardner-Webb,Big South,FCS,20.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,20,20.00,0.00
5,Ohio State,Big Ten,FBS,664.00,17,50,33,25,7,69,10,60,2,90,0,0,0,0,12,64.5,13,63,0,0,52,21,0,0,5,75,517.50,146.50
6,Penn State,Big Ten,FBS,645.00,0,0,0,0,12,54,11,57,3,83,0,0,0,0,0,0,41,24,37,34.5,19,53,0,0,1,100,405.50,239.50
9,Michigan,Big Ten,FBS,624.00,5,73,1,100,0,0,0,0,0,0,0,0,0,0,6,73.5,8,70.5,54,18.5,26,46.5,0,0,7,72,454.00,170.00
13,Iowa,Big Ten,FBS,541.50,17,50,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,29,10,67.5,2,90,4,80,389.50,152.00
15,Wisconsin,Big Ten,FBS,526.00,0,0,33,25,0,0,0,0,1,100,0,0,0,0,13,63,32,42,48,23.5,0,0,0,0,37,36.5,290.00,236.00
18,Minnesota,Big Ten,FBS,487.25,9,64,0,0,0,0,0,0,5,60,0,0,0,0,16,57.75,31,43,17,56.5,0,0,0,0,9,69,350.25,137.00
20,Nebraska,Big Ten,FBS,484.25,33,25,9,64,0,0,0,0,0,0,5,55,0,0,27,47,0,0,12,63.75,26,46.5,0,0,3,85,386.25,98.00
22,UCLA,Big Ten,FBS,473.50,1,100,17,50,0,0,0,0,0,0,0,0,0,0,20,54,0,0,28,44.5,0,0,0,0,0,0,248.50,225.00
23,Oregon,Big Ten,FBS,470.00,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,2,90,0,0,0,0,230.00,240.00
25,USC,Big Ten,FBS,463.00,17,50,0,0,0,0,0,0,0,0,0,0,0,0,14,61.5,14,61.5,20,54,30,43,0,0,0,0,270.00,193.00
26,Indiana,Big Ten,FBS,460.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,72,3,85,0,0,37,36.5,0,0,21,53,246.50,214.00
30,Washington,Big Ten,FBS,431.75,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,49.5,15,59.25,0,0,0,0,158.75,273.00
33,Illinois,Big Ten,FBS,398.50,17,50,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,26,46.5,0,0,15,60,324.50,74.00
38,Northwestern,Big Ten,FBS,380.00,0,0,0,0,6,72,0,0,0,0,0,0,0,0,36,34,26,48,0,0,0,0,0,0,0,0,154.00,226.00
45,Purdue,Big Ten,FBS,318.00,0,0,5,73,0,0,0,0,0,0,0,0,0,0,21,52,29,45,0,0,42,30,0,0,29,45,245.00,73.00
56,Michigan State,Big Ten,FBS,266.00,17,50,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.00,152.00
80,Maryland,Big Ten,FBS,164.00,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,41,91.00,73.00
149,Rutgers,Big Ten,FBS,64.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,0,0,0,0,0,0,0,0,34,39,64.00,0.00
101,UC San Diego,Big West,DI,118.00,33,25,0,0,16,42,17,40,0,0,0,0,0,0,47,11,0,0,0,0,0,0,0,0,0,0,118.00,0.00
112,Cal Poly,Big West,FCS,99.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10.5,10.50,89.00
115,UC Davis,Big West,FCS,95.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,95.00
140,Hawaii,Big West,FBS,70.00,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,45.00
204,UC Irvine,Big West,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
120,Hofstra,CAA,DI,89.00,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,64.00
122,Northeastern,CAA,DI,83.00,0,0,0,0,0,0,0,0,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.00,0.00
157,Drexel,CAA,DI,57.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,32.5,32.50,25.00
169,Elon,CAA,FCS,50.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,50.00
204,Campbell,CAA,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
204,College of Charleston,CAA,DI,25.00,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,0.00
108,Liberty,Conference USA,FBS,104.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34.5,0,0,0,0,0,0,34.50,70.00
129,Delaware,Conference USA,FBS,75.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,30,0,0,0,0,0,0,0,0,30.00,45.00
140,Western Kentucky,Conference USA,FBS,70.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,70.00
144,Kennesaw State,Conference USA,FBS,68.50,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18.5,0,0,0,0,0,0,43.50,25.00
169,Missouri State,Conference USA,FBS,50.00,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,25.00
187,Jacksonville State,Conference USA,FBS,45.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,45.00
187,Louisiana Tech,Conference USA,FBS,45.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,45.00
204,FIU,Conference USA,FBS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
204,UTEP,Conference USA,FBS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
169,Wright State,Horizon League,DI,50.00,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,25.00
203,IUPUI,Horizon League,DI,26.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,26,0,0,0,0,0,0,0,0,26.00,0.00
204,Cleveland State,Horizon League,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
204,Wisconsin Green Bay,Horizon League,DI,25.00,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,0.00
204,Wisconsin Milwaukee,Horizon League,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
204,Youngstown State,Horizon League,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
4,Princeton,Ivy League,FCS,679.50,33,25,0,0,3,85,9,63,9,25,0,0,0,0,43,17,22,52,27,47,26,46.5,0,0,20,54,414.50,265.00
27,Harvard,Ivy League,FCS,459.50,0,0,0,0,4,80,4,80,0,0,0,0,16,42,0,0,39,28,54,18.5,30,43,0,0,57,15,306.50,153.00
42,Yale,Ivy League,FCS,369.00,0,0,0,0,8,66,12,54,5,60,0,0,0,0,0,0,34,36,0,0,0,0,0,0,0,0,216.00,153.00
44,Pennsylvania,Ivy League,FCS,320.00,0,0,33,25,5,75,5,75,0,0,0,0,0,0,37,30,0,0,48,23.5,37,36.5,0,0,19,55,320.00,0.00
64,Columbia,Ivy League,FCS,237.00,0,0,0,0,2,90,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,57,237.00,0.00
77,Cornell,Ivy League,FCS,169.00,0,0,0,0,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,56,119.00,50.00
114,Dartmouth,Ivy League,FCS,97.00,0,0,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0,0,0,0,0,0,0,0,0,72.00,25.00
145,Brown,Ivy League,FCS,67.00,0,0,0,0,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27,67.00,0.00
102,Sacred Heart,MAAC,FCS,117.00,0,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,60,0,0,92.00,25.00
115,Fairfield,MAAC,DI,95.00,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,70.00
155,Quinnipiac,MAAC,DI,60.00,0,0,0,0,0,0,0,0,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.00,0.00
169,Siena,MAAC,DI,50.00,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,25.00
185,Rider,MAAC,DI,47.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,47,47.00,0.00
193,Iona,MAAC,DI,42.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,42.00
89,Miami (OH),MAC,FBS,140.00,33,25,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.00,90.00
92,Akron,MAC,FBS,136.00,0,0,33,25,0,0,0,0,0,0,0,0,0,0,33,38,0,0,0,0,0,0,0,0,0,0,63.00,73.00
100,Western Michigan,MAC,FBS,120.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,120.00
124,Toledo,MAC,FBS,78.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,78.00
138,Ohio,MAC,FBS,72.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27,27.00,45.00
196,Central Michigan,MAC,FBS,35.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10.5,10.50,25.00
202,Northern Illinois,MAC,FBS,27.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27,27.00,0.00
251,Buffalo,MAC,FBS,20.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,20,20.00,0.00
255,Kent State,MAC,FBS,15.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,15.00,0.00
169,Howard,MEAC,FCS,50.00,33,25,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.00,0.00
185,Delaware State,MEAC,FCS,47.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,47,0,0,47.00,0.00
187,South Carolina State,MEAC,FCS,45.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,45.00
204,Coppin State,MEAC,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
251,Morgan State,MEAC,FCS,20.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,20,20.00,0.00
87,Northern Iowa,Missouri Valley,FCS,147.50,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,30,0,0,31,42.5,97.50,50.00
119,Illinois State,Missouri Valley,FCS,90.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,90.00
204,Drake,Missouri Valley,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
204,Illinois Chicago,Missouri Valley,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25.00
204,Murray State,Missouri Valley,FCS,25.00,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00,0.00
204,Southern Illinois,Missouri Valley,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,0,0,0,0,0,0,0,0,0,0,25.00,0.00
254,Indiana State,Missouri Valley,FCS,17.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,17,0,0,0,0,0,0,0,0,0,0,17.00,0.00
47,New Mexico,Mountain West,FBS,314.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,66.75,19,53,0,0,0,0,119.75,195.00
71,Air Force,Mountain West,FBS,215.00,0,0,0,0,19,36,16,42,0,0,0,0,0,0,0,0,0,0,0,0,39,34,0,0,25,49,161.00,54.00
